"Year","Rank","Country code","Country","Region Code","Region","Overall","Coverage","Openness"
"2016","37","IND","India","ASZ","Southern Asia","55.2","52.8","57.2"
"2016","38","RUS","Russian Federation","EUE","Eastern Europe","55.1","60.7","50.2"
"2016","39","SRB","Serbia","EUZ","Southern Europe","54.6","51.7","57.1"
"2016","40","ARM","Armenia","ASW","Western Asia","54.2","55.1","53.4"
"2016","41","ZAF","South Africa","AFZ","Southern Africa","53.9","51.8","55.6"
"2016","42","JPN","Japan","ASF","Eastern Asia","53.6","49.1","57.5"
"2016","43","BEL","Belgium","EUW","Western Europe","53.2","45.9","59.4"
"2016","44","SVK","Slovakia","EUE","Eastern Europe","53.0","58.7","48.1"
"2016","45","ROU","Romania","EUE","Eastern Europe","52.7","59.6","46.8"
"2016","46","GBR","United Kingdom","EUN","Northern Europe","52.0","48.6","54.9"
"2016","47","AZE","Azerbaijan","ASW","Western Asia","50.0","60.3","41.2"
"2016","48","BLR","Belarus","EUE","Eastern Europe","49.9","65.0","36.8"
"2016","49","KEN","Kenya","AFE","Eastern Africa","49.2","48.8","49.6"
"2016","50","KAZ","Kazakhstan","ASC","Central Asia","48.4","61.4","37.2"
"2016","50","GRC","Greece","EUZ","Southern Europe","48.4","46.7","49.8"
"2016","52","CYP","Cyprus","ASW","Western Asia","48.2","49.2","47.3"
"2016","53","FRA","France","EUW","Western Europe","47.5","44.5","50.1"
"2016","54","BTN","Bhutan","ASZ","Southern Asia","47.3","50.7","44.4"
"2016","55","DOM","Dominican Republic","AMC","Caribbean","47.0","48.1","46.0"
"2016","56","TUN","Tunisia","AFN","Northern Africa","46.2","43.3","48.7"
"2016","57","JOR","Jordan","ASW","Western Asia","46.1","52.9","40.3"
"2016","58","LKA","Sri Lanka","ASZ","Southern Asia","45.9","48.3","43.8"
"2016","59","CHN","China","ASF","Eastern Asia","45.6","45.6","45.6"
"2016","59","LUX","Luxembourg","EUW","Western Europe","45.6","43.7","47.2"
"2016","59","CHL","Chile","AMZ","South America","45.6","48.4","43.1"
"2016","62","SGP","Singapore","ASE","South-Eastern Asia","45.3","47.1","44.1"
"2016","62","ISL","Iceland","EUN","Northern Europe","45.3","41.3","48.7"
"2016","64","PHL","Philippines","ASE","South-Eastern Asia","44.6","52.0","38.2"
"2016","65","CUB","Cuba","AMC","Caribbean","44.5","45.4","43.7"
"2016","66","MLI","Mali","AFW","Western Africa","44.3","41.5","46.8"
"2016","67","BHR","Bahrain","ASW","Western Asia","44.2","46.3","42.8"
"2016","67","TUR","T�rkiye","ASW","Western Asia","44.2","45.8","42.8"
"2016","69","BRA","Brazil","AMZ","South America","44.1","46.8","41.8"
"2016","70","PSE","Palestine","ASW","Western Asia","43.3","47.7","39.5"
"2016","71","UKR","Ukraine","EUE","Eastern Europe","43.0","56.2","31.7"
"2016","72","OMN","Oman","ASW","Western Asia","42.9","33.6","51.0"
"2016","73","COL","Colombia","AMZ","South America","42.7","47.2","38.9"
"2016","74","PAN","Panama","AMM","Central America","42.5","45.4","40.1"
"2016","75","MLT","Malta","EUZ","Southern Europe","42.4","41.8","42.9"
"2016","76","GIN","Guinea","AFW","Western Africa","42.1","43.2","41.3"
"2016","77","BOL","Bolivia","AMZ","South America","41.7","45.0","38.8"
"2016","78","TJK","Tajikistan","ASC","Central Asia","41.6","46.0","37.8"
"2016","79","TWN","Taiwan","ASF","Eastern Asia","41.3","35.8","46.0"
"2016","80","MNE","Montenegro","EUZ","Southern Europe","40.8","48.6","34.1"
"2016","81","NGA","Nigeria","AFW","Western Africa","40.6","43.9","37.7"
"2016","82","CMR","Cameroon","AFM","Middle Africa","39.9","37.2","42.3"
"2016","83","UGA","Uganda","AFE","Eastern Africa","39.5","43.0","36.5"
"2016","84","IDN","Indonesia","ASE","South-Eastern Asia","39.4","49.6","30.7"
"2016","84","XKX","Kosovo","EUZ","Southern Europe","39.4","42.4","36.8"
"2016","86","SUR","Suriname","AMZ","South America","39.1","37.3","40.6"
"2016","87","BDI","Burundi","AFE","Eastern Africa","38.9","45.7","33.1"
"2016","88","KWT","Kuwait","ASW","Western Asia","38.8","40.8","37.1"
"2016","88","NIC","Nicaragua","AMM","Central America","38.8","39.5","38.1"
"2016","90","EGY","Egypt","AFN","Northern Africa","38.5","45.5","32.5"
"2016","91","THA","Thailand","ASE","South-Eastern Asia","38.3","39.0","37.8"
"2016","92","MWI","Malawi","AFE","Eastern Africa","38.1","36.9","39.1"
"2016","93","NPL","Nepal","ASZ","Southern Asia","37.7","48.7","28.3"
"2016","93","MYS","Malaysia","ASE","South-Eastern Asia","37.7","36.4","38.7"
"2016","95","HKG","Hong Kong SAR, China","ASF","Eastern Asia","37.4","51.0","27.9"
"2016","96","PAK","Pakistan","ASZ","Southern Asia","37.2","46.4","29.2"
"2016","97","LBR","Liberia","AFW","Western Africa","36.9","36.4","37.3"
"2016","98","PER","Peru","AMZ","South America","36.8","46.7","28.4"
"2016","99","SEN","Senegal","AFW","Western Africa","36.7","35.7","37.5"
"2016","100","ISR","Israel","ASW","Western Asia","36.6","26.2","45.6"
"2016","101","PRY","Paraguay","AMZ","South America","36.5","44.7","29.5"
"2016","102","VNM","Vietnam","ASE","South-Eastern Asia","36.1","35.5","36.7"
"2016","102","WSM","Samoa","OPI","Pacific Islands","36.1","39.4","33.2"
"2016","104","ARE","United Arab Emirates","ASW","Western Asia","35.9","40.4","31.9"
"2016","105","BIH","Bosnia and Herzegovina","EUZ","Southern Europe","35.3","39.0","32.2"
"2016","106","BGD","Bangladesh","ASZ","Southern Asia","35.2","42.3","29.1"
"2016","107","TGO","Togo","AFW","Western Africa","33.2","30.1","35.9"
"2016","107","SLE","Sierra Leone","AFW","Western Africa","33.2","40.5","26.9"
"2016","109","YEM","Yemen","ASW","Western Asia","33.1","40.7","26.6"
"2016","110","BWA","Botswana","AFZ","Southern Africa","33.0","35.8","30.6"
"2016","111","BFA","Burkina Faso","AFW","Western Africa","32.5","40.1","26.1"
"2016","111","TZA","Tanzania","AFE","Eastern Africa","32.5","40.7","25.4"
"2016","113","LSO","Lesotho","AFZ","Southern Africa","32.4","34.1","30.9"
"2016","113","MRT","Mauritania","AFW","Western Africa","32.4","33.0","31.8"
"2016","115","MMR","Myanmar","ASE","South-Eastern Asia","32.2","28.1","35.8"
"2016","116","IRQ","Iraq","ASW","Western Asia","32.1","38.6","26.6"
"2016","116","MDV","Maldives","ASZ","Southern Asia","32.1","38.7","27.5"
"2016","118","STP","Sao Tome and Principe","AFM","Middle Africa","31.7","23.7","37.3"
"2016","119","NAM","Namibia","AFZ","Southern Africa","31.6","33.7","29.9"
"2016","119","QAT","Qatar","ASW","Western Asia","31.6","35.9","27.9"
"2016","119","ARG","Argentina","AMZ","South America","31.6","37.1","26.8"
"2016","122","CPV","Cabo Verde","AFW","Western Africa","31.4","26.5","35.7"
"2016","123","NER","Niger","AFW","Western Africa","30.7","35.1","27.0"
"2016","124","VEN","Venezuela","AMZ","South America","30.6","37.9","24.3"
"2016","125","URY","Uruguay","AMZ","South America","30.3","38.5","23.3"
"2016","125","TCD","Chad","AFM","Middle Africa","30.3","34.4","26.7"
"2016","127","BLZ","Belize","AMM","Central America","30.0","31.1","29.1"
"2016","128","TLS","Timor-Leste","ASE","South-Eastern Asia","29.7","38.0","22.5"
"2016","129","LBN","Lebanon","ASW","Western Asia","29.5","34.1","25.5"
"2016","130","BHS","The Bahamas","AMC","Caribbean","29.2","34.4","24.7"
"2016","131","HND","Honduras","AMM","Central America","29.1","35.8","23.2"
"2016","132","SAU","Saudi Arabia","ASW","Western Asia","29.0","36.0","22.9"
"2016","133","FSM","Micronesia, Fed. Sts.","OPI","Pacific Islands","28.9","35.4","24.4"
"2016","134","GUY","Guyana","AMZ","South America","28.7","27.6","29.7"
"2016","135","GNB","Guinea-Bissau","AFW","Western Africa","28.6","19.6","36.4"
"2016","135","MOZ","Mozambique","AFE","Eastern Africa","28.6","31.0","26.5"
"2016","137","MAR","Morocco","AFN","Northern Africa","28.5","37.6","20.8"
"2016","138","GHA","Ghana","AFW","Western Africa","28.1","36.7","20.7"
"2016","139","FJI","Fiji","OPI","Pacific Islands","27.9","34.1","22.5"
"2016","140","COG","Congo, Rep.","AFM","Middle Africa","27.5","29.1","26.1"
"2016","141","LAO","Lao PDR","ASE","South-Eastern Asia","27.0","26.7","27.3"
"2016","141","DJI","Djibouti","AFE","Eastern Africa","27.0","29.9","24.5"
"2016","143","ZWE","Zimbabwe","AFE","Eastern Africa","26.9","32.0","22.5"
"2016","144","GTM","Guatemala","AMM","Central America","26.5","26.8","26.4"
"2016","145","SLB","Solomon Islands","OPI","Pacific Islands","25.7","31.1","21.1"
"2016","145","VUT","Vanuatu","OPI","Pacific Islands","25.7","29.6","22.3"
"2016","147","LCA","St. Lucia","AMC","Caribbean","25.6","31.4","21.6"
"2016","148","KIR","Kiribati","OPI","Pacific Islands","25.1","27.1","23.8"
"2016","149","CIV","Cote d'Ivoire","AFW","Western Africa","24.9","25.2","24.7"
"2016","150","COD","Congo, Dem. Rep.","AFM","Middle Africa","24.5","29.8","20.0"
"2016","151","VCT","St. Vincent & Grenadines","AMC","Caribbean","24.0","33.4","17.4"
"2016","152","MHL","Marshall Islands","OPI","Pacific Islands","23.9","30.3","19.4"
"2016","153","ETH","Ethiopia","AFE","Eastern Africa","23.6","26.3","21.2"
"2016","154","TKM","Turkmenistan","ASC","Central Asia","23.4","26.8","20.5"
"2016","155","AGO","Angola","AFM","Middle Africa","23.3","23.8","23.0"
"2016","156","SSD","South Sudan","AFE","Eastern Africa","23.1","22.2","23.8"
"2016","157","BEN","Benin","AFW","Western Africa","23.0","24.4","21.7"
"2016","158","DZA","Algeria","AFN","Northern Africa","22.5","26.0","19.5"
"2016","159","KHM","Cambodia","ASE","South-Eastern Asia","22.3","24.6","20.4"
"2016","160","ZMB","Zambia","AFE","Eastern Africa","21.8","25.7","18.5"
"2016","161","SLV","El Salvador","AMM","Central America","21.5","24.8","18.7"
"2016","162","CRI","Costa Rica","AMM","Central America","19.4","22.8","16.4"
"2016","163","GAB","Gabon","AFM","Middle Africa","19.2","18.5","19.7"
"2016","164","TTO","Trinidad and Tobago","AMC","Caribbean","18.9","20.5","17.6"
"2016","165","JAM","Jamaica","AMC","Caribbean","18.4","19.3","17.6"
"2016","166","GMB","The Gambia","AFW","Western Africa","15.7","16.3","15.2"
"2016","167","PNG","Papua New Guinea","OPI","Pacific Islands","14.2","16.8","12.0"
"2016","168","UZB","Uzbekistan","ASC","Central Asia","13.0","13.8","12.3"
"2016","169","AIA","Anguilla","AMC","Caribbean","11.0","12.3","10.1"
"2016","170","LBY","Libya","AFN","Northern Africa","8.3","16.8","1.0"
"2016","171","SWZ","Eswatini","AFZ","Southern Africa","5.2","4.3","6.0"
"2016","172","HTI","Haiti","AMC","Caribbean","4.6","3.9","5.2"
"2016","173","MDG","Madagascar","AFE","Eastern Africa","3.3","3.3","3.3"
